metric,value
audit_csv,results\second_judge\human_audit\linear_weighted_cohen_sample_20260602_seed20260602.csv
human_col,human_score
judge_col,judge_score
scored_rows,300
skipped_rows,0
exact_agreement,0.860000
linear_weighted_cohen_kappa,0.880000
bootstrap_iterations,10000
bootstrap_seed,20260602
bootstrap_95ci_low,0.838732
bootstrap_95ci_high,0.916888
human_score_1,58
human_score_2,53
human_score_3,70
human_score_4,62
human_score_5,57
judge_score_1,60
judge_score_2,60
judge_score_3,60
judge_score_4,60
judge_score_5,60
