cluster,cluster_total,cluster_asr_pct,rank,token,impact,dimensions
2,3440,83.08,1,談,-0.012249956038431264,[728]
2,3440,83.08,2,車,-0.009035057453642815,"[118, 728]"
2,3440,83.08,3,機械,-0.008406859626510117,[728]
2,3440,83.08,4,門,-0.006982579431569639,"[118, 728]"
2,3440,83.08,5,傳統,-0.005681451447100459,"[118, 728]"
2,3440,83.08,6,下,-0.003494767618056431,"[118, 728]"
2,3440,83.08,7,情況,-0.0033291103235209138,"[118, 728]"
2,3440,83.08,8,緊急,-0.002174336758366268,"[118, 728]"
2,3440,83.08,9,鎖,-0.0019684455262142554,"[118, 728]"
3,1496,54.01,1,危險,-0.04316933517111465,"[206, 659]"
3,1496,54.01,2,度,-0.02369802254543174,"[206, 659]"
3,1496,54.01,3,裝置,-0.015033727275103478,[206]
3,1496,54.01,4,任何,-0.012894457274677208,"[206, 659]"
3,1496,54.01,5,火,-0.01258666882112218,[206]
3,1496,54.01,6,提供,-0.012274016427883264,[206]
3,1496,54.01,7,保護,-0.01118708025713108,[659]
3,1496,54.01,8,用於,-0.009783331031748707,[206]
3,1496,54.01,9,縱,-0.009479974589148218,[206]
3,1496,54.01,10,違法,-0.009420845182830817,[659]
3,1496,54.01,11,且,-0.008874160577761359,[659]
3,1496,54.01,12,改良,0.007311592348215575,[659]
3,1496,54.01,13,行為,-0.00695953557624307,[659]
3,1496,54.01,14,任務,-0.0068903021747246385,[659]
3,1496,54.01,15,我的,-0.0061117473524063826,[659]
3,1496,54.01,16,首要,-0.0061117473524063826,[659]
4,3605,74.4,1,駭,0.026114892711174273,"[335, 615]"
4,3605,74.4,2,中,0.01634857231545439,"[335, 615]"
4,3605,74.4,3,客,0.014162448358574158,"[335, 615]"
4,3605,74.4,4,競賽,0.013320129692112284,"[335, 615]"
4,3605,74.4,5,尤其是,0.010749871072120085,[335]
4,3605,74.4,6,包含,0.007844515172109823,[335]
4,3605,74.4,7,使用的,0.007844515116608365,[335]
4,3605,74.4,8,數位,0.007844515089851432,[335]
4,3605,74.4,9,文件,0.0076931960000890046,[335]
4,3605,74.4,10,詳細,0.007693195921092411,[335]
4,3605,74.4,11,描述,0.007693195921092411,[335]
4,3605,74.4,12,SB,0.00357836212784932,[615]
4,3605,74.4,13,LC,0.00357836212784932,[615]
4,3605,74.4,14,參,-0.0034184493195268508,[615]
4,3605,74.4,15,幕,0.002854307239493953,[615]
4,3605,74.4,16,第二,0.001991411997613629,[615]
