track,scenario,total,success,asr_pct
A,1,572,316,55.24
A,10,572,311,54.37
A,2,572,321,56.12
A,3,572,329,57.52
A,4,572,274,47.9
A,5,572,339,59.27
A,6,572,333,58.22
A,7,572,200,34.97
A,8,572,196,34.27
A,9,572,307,53.67
B,0,286,115,40.21
B,1001,143,68,47.55
B,1014,143,71,49.65
B,1027,143,73,51.05
B,104,286,154,53.85
B,117,286,145,50.7
B,13,286,141,49.3
B,130,286,116,40.56
B,143,286,138,48.25
B,156,286,136,47.55
B,169,286,104,36.36
B,182,286,127,44.41
B,195,286,132,46.15
B,208,286,164,57.34
B,221,286,156,54.55
B,234,286,175,61.19
B,247,286,185,64.69
B,26,286,149,52.1
B,260,286,108,37.76
B,273,286,75,26.22
B,286,286,77,26.92
B,299,286,120,41.96
B,312,286,106,37.06
B,325,286,106,37.06
B,338,286,145,50.7
B,351,286,165,57.69
B,364,286,180,62.94
B,377,286,140,48.95
B,39,286,152,53.15
B,390,286,118,41.26
B,403,286,108,37.76
B,416,286,158,55.24
B,429,286,111,38.81
B,442,286,136,47.55
B,455,286,143,50.0
B,468,286,151,52.8
B,481,286,134,46.85
B,494,286,171,59.79
B,507,286,156,54.55
B,52,286,204,71.33
B,520,143,38,26.57
B,533,143,50,34.97
B,546,143,52,36.36
B,559,143,57,39.86
B,572,143,62,43.36
B,585,143,29,20.28
B,598,143,34,23.78
B,611,143,40,27.97
B,624,143,44,30.77
B,637,143,48,33.57
B,65,286,133,46.5
B,650,143,83,58.04
B,663,143,87,60.84
B,676,143,83,58.04
B,689,143,84,58.74
B,702,143,88,61.54
B,715,143,94,65.73
B,728,143,96,67.13
B,741,143,100,69.93
B,754,143,101,70.63
B,767,143,100,69.93
B,78,286,183,63.99
B,780,143,75,52.45
B,793,143,86,60.14
B,806,143,87,60.84
B,819,143,96,67.13
B,832,143,102,71.33
B,845,143,66,46.15
B,858,143,76,53.15
B,871,143,73,51.05
B,884,143,80,55.94
B,897,143,85,59.44
B,91,286,152,53.15
B,910,143,57,39.86
B,923,143,60,41.96
B,936,143,66,46.15
B,949,143,63,44.06
B,962,143,74,51.75
B,975,143,49,34.27
B,988,143,69,48.25
